date_id,date,pre_covid,count,is_r
44,2019-9-27,0,10,0
44,2019-9-27,0,12,1
45,2019-10-7,0,9,0
45,2019-10-7,0,10,1
46,2019-10-17,0,8,0
46,2019-10-17,0,11,1
47,2019-11-1,0,11,0
47,2019-11-1,0,8,1
48,2019-11-10,0,5,0
48,2019-11-10,0,4,1
49,2019-11-20,0,8,0
49,2019-11-20,0,11,1
50,2020-1-20,1,11,0
50,2020-1-20,1,5,1
51,2020-2-11,1,7,0
51,2020-2-11,1,8,1
52,2020-2-14,1,9,0
52,2020-2-14,1,11,1
53,2020-2-15,1,8,0
53,2020-2-15,1,9,1
54,2020-3-12,1,9,0
54,2020-3-12,1,9,1
55,2020-3-14,1,15,0
55,2020-3-14,1,8,1
56,2020-3-26,1,9,0
56,2020-3-26,1,10,1
57,2020-4-6,1,6,0
57,2020-4-6,1,10,1
58,2020-4-17,1,11,0
58,2020-4-17,1,10,1
59,2020-4-25,1,8,0
59,2020-4-25,1,8,1
60,2020-5-12,1,8,0
60,2020-5-12,1,10,1
61,2020-5-13,1,8,0
61,2020-5-13,1,6,1
62,2020-6-12,1,11,0
62,2020-6-12,1,9,1
63,2020-6-15,1,11,0
63,2020-6-15,1,9,1
64,2020-7-4,1,6,0
64,2020-7-4,1,8,1
65,2020-7-13,1,8,0
65,2020-7-13,1,10,1
66,2020-7-23,1,9,0
66,2020-7-23,1,8,1
67,2020-7-28,1,10,0
67,2020-7-28,1,10,1
68,2020-8-8,1,11,0
68,2020-8-8,1,6,1
69,2020-8-19,1,9,0
69,2020-8-19,1,8,1
70,2020-8-21,1,8,0
70,2020-8-21,1,9,1
71,2020-9-23,1,10,0
71,2020-9-23,1,10,1
72,2020-9-28,1,8,0
72,2020-9-28,1,10,1
73,2020-10-12,1,9,0
73,2020-10-12,1,8,1
74,2020-10-13,1,4,0
74,2020-10-13,1,12,1
75,2020-10-20,1,11,0
75,2020-10-20,1,10,1
76,2020-10-26,1,9,0
76,2020-10-26,1,9,1
77,2020-10-27,1,9,0
77,2020-10-27,1,9,1
78,2020-11-5,1,4,0
78,2020-11-5,1,7,1
79,2020-11-6,1,8,0
79,2020-11-6,1,11,1
80,2020-11-17,1,8,0
80,2020-11-17,1,11,1
81,2020-11-20,1,6,0
81,2020-11-20,1,8,1
82,2020-11-26,1,8,0
82,2020-11-26,1,10,1
83,2020-12-6,1,3,0
83,2020-12-6,1,11,1
84,2020-12-19,1,7,0
84,2020-12-19,1,5,1
85,2021-2-7,1,2,0
85,2021-2-7,1,9,1
86,2021-2-17,1,8,0
86,2021-2-17,1,10,1
87,2021-3-22,1,4,0
87,2021-3-22,1,7,1
88,2021-4-26,1,9,0
88,2021-4-26,1,11,1
89,2021-5-26,1,9,0
89,2021-5-26,1,12,1
90,2021-6-4,1,13,0
90,2021-6-4,1,8,1
91,2021-7-9,1,9,0
91,2021-7-9,1,8,1
92,2021-9-4,1,10,0
92,2021-9-4,1,10,1
93,2021-9-5,1,7,0
93,2021-9-5,1,9,1
94,2021-9-7,1,9,0
94,2021-9-7,1,8,1
95,2021-9-18,1,8,0
95,2021-9-18,1,8,1
96,2021-10-10,1,5,0
96,2021-10-10,1,8,1
97,2021-11-5,1,7,0
97,2021-11-5,1,7,1
98,2021-11-16,1,8,0
98,2021-11-16,1,8,1
99,2021-12-20,1,8,0
99,2021-12-20,1,9,1
